0.00	294.222
0.01	235.061
0.02	217.431
0.03	165.609
0.04	142.173
0.05	175.008
0.06	239.113
0.07	126.926
0.08	131.144
0.09	273.946
0.10	299.861
0.11	256.607
0.12	200.752
0.13	174.619
0.14	253.870
0.15	302.395
0.16	355.447
0.17	273.934
0.18	233.988
0.19	782.487
0.20	895.745
0.21	66.503
0.22	41.770
0.23	167.367
0.24	148.442
0.25	606.045
0.26	514.960
0.27	117.191
0.28	74.597
0.29	38.696
0.30	70.274
0.31	99.430
0.32	106.130
0.33	73.451
0.34	815.498
0.35	797.968
0.36	449.622
0.37	422.829
0.38	292.860
0.39	149.129
0.40	288.914
0.41	284.989
0.42	309.249
0.43	1135.921
0.44	1135.548
0.45	912.107
0.46	588.527
0.47	706.137
0.48	71.280
0.49	228.396
0.50	236.387
0.51	94.589
0.52	40.526
0.53	46.259
0.54	57.360
0.55	127.106
0.56	856.725
0.57	333.995
0.58	302.233
0.59	880.656
0.60	1139.386
0.61	1133.039
0.62	634.330
0.63	924.750
0.64	53.217
0.65	106.281
0.66	241.436
0.67	95.905
0.68	92.191
0.69	104.274
0.70	100.131
0.71	76.176
0.72	1071.132
0.73	0.000
0.74	0.000
0.75	156.109
0.76	484.296
0.77	489.923
0.78	492.761
0.79	490.137
0.80	492.761
0.81	492.761
0.82	492.684
0.83	492.761
0.84	495.616
0.85	489.923
0.86	431.458
0.87	433.958
0.88	436.472
0.89	439.000
0.90	444.101
0.91	444.101
0.92	441.555
0.93	441.543
0.94	441.543
0.95	436.472
0.96	421.604
0.97	414.361
0.98	416.761
0.99	419.176
1.00	416.761
1.01	414.361
1.02	416.761
1.03	416.761
1.04	0.000
1.05	0.000
1.06	426.503
1.07	431.458
1.08	433.958
1.09	437.722
1.10	446.110
1.11	444.238
1.12	433.959
1.13	433.958
1.14	436.472
1.15	441.530
1.16	478.733
1.17	224.079
1.18	214.487
1.19	218.236
1.20	220.772
1.21	224.618
1.22	224.630
1.23	0.000
1.24	220.772
1.25	220.771
1.26	220.772
1.27	220.772
1.28	220.772
1.29	220.771
1.30	220.772
1.31	220.772
1.32	220.804
1.33	220.772
1.34	223.337
1.35	223.337
1.36	226.861
1.37	883.076
1.38	210.802
1.39	325.101
1.40	326.984
1.41	326.984
1.42	330.784
1.43	319.785
1.44	107.795
1.45	109.118
1.46	328.851
1.47	338.063
1.48	223.334
1.49	113.620
1.50	105.438
1.51	87.143
1.52	335.065
1.53	326.557
1.54	326.896
1.55	332.627
1.56	603.453
1.57	883.936
1.58	195.566
1.59	187.417
1.60	169.814
1.61	305.035
1.62	265.223
1.63	248.484
1.64	303.427
1.65	327.235
1.66	315.182
1.67	260.246
1.68	200.181
1.69	236.934
1.70	244.478
1.71	200.209
1.72	270.472
1.73	179.264
1.74	210.934
1.75	234.408
1.76	311.823
1.77	214.645
1.78	289.462
1.79	217.575
